Video Name,n_faces,total_area_mm2,n_observed_faces,n_unobserved_faces,observed_area_mm2,unobserved_area_mm2,unobserved_frac_by_count,unobserved_frac_by_area,n_unobserved_components,comp_area_top1_mm2,comp_area_top2_mm2,comp_area_top3_mm2,comp_area_top4_mm2,comp_area_top5_mm2,n_components_gt5mm_diam,n_components_gt10mm_diam,largest_component_equiv_diam_mm,Colon,Segment,Phantom Number,Video Number ,Camera Speed,Edge Enhancement,Brightness,Debris,Deformation,Open End Visible,Tags,Comments,Qualitative Score,Quantitative Score,Youtube Preview URL ID,Total Frames
c1_sigmoid2_t4_v1,133959,14214.747406219623,118593,15366,12674.96907824487,1539.778327974751,0.11470673862898349,0.10832259511702791,37,818.9843418535133,320.39720306186814,207.06613959503494,106.42375761777066,78.00511317534782,5,4,32.29184495452055,c1,sigmoid2,t4,v1,10.0,3.0,4.0,no,no,yes,,,1.0,0.774,V-VPmiHOzXE,390
c1_sigmoid2_t4_v2,133959,14214.747406219623,109535,24424,11697.028648456328,2517.718757763295,0.18232444255331856,0.17712018974474875,37,1864.5488759922084,631.3851298552698,18.462258103706652,1.102873625531705,0.3160427694089799,2,2,48.72388902791709,c1,sigmoid2,t4,v2,10.0,3.0,4.0,no,no,yes,,,1.0,0.8847,jKmvNcw7Ay0,428
c1_sigmoid2_t4_v3,133959,14214.747406219623,106550,27409,11370.090687584117,2844.6567186355055,0.20460737986996022,0.20012010325212207,42,2184.460436737828,638.9994632681421,17.531024687796453,1.1028736255317053,0.3160427694089799,2,2,52.738424435738,c1,sigmoid2,t4,v3,10.0,3.0,4.0,yes,no,yes,,yellow fecal debris & foam,1.0,,oTFIAJMj4pE,428
c1_transverse1_t1_v1,319314,22485.385404294375,224061,95253,16049.706923558813,6435.678480735563,0.29830511659369774,0.28621606279011985,259,2980.30201067459,1492.7742472511134,1110.7743652101349,735.3943822430826,67.31513180527011,5,4,61.600636159414826,c1,transverse1,t1,v1,20.0,3.0,-3.0,no,no,yes,,,1.0,-0.5916,mZh01rTd5HY,156
c1_transverse1_t1_v1,319314,22485.385404294375,224061,95253,16049.706923558813,6435.678480735563,0.29830511659369774,0.28621606279011985,259,2980.30201067459,1492.7742472511134,1110.7743652101349,735.3943822430826,67.31513180527011,5,4,61.600636159414826,c1,transverse1,t1,v1,20.0,3.0,-3.0,no,no,yes,,,1.0,-0.5916,mZh01rTd5HY,156
c1_transverse1_t1_v2,319314,22485.388827147217,217051,102263,15617.676482216073,6867.712344931142,0.32025842900718415,0.305430001576827,54,3999.2208689938298,1480.0919755503494,1027.5869683670185,164.11638570598367,163.92907660561775,5,5,71.35801397553793,c1,transverse1,t1,v2,20.0,3.0,0.0,no,no,yes,,down the barrel,1.0,-0.1465,8l7qH4WWv0g,117
c1_transverse1_t1_v3,319314,22485.394436874354,217586,101728,15650.258311960653,6835.136124913701,0.31858296222527044,0.30398115292585626,53,3945.4650680191685,1480.5448970019363,1033.681525991692,171.87355780017566,158.81209258180786,6,5,70.87680965572035,c1,transverse1,t1,v3,20.0,3.0,0.0,yes,no,yes,,red debris,2.0,,QcZHNhEgdJ4,117
c1_transverse1_t2_v1,319314,22485.401141068818,243739,75575,17273.325343354478,5212.075797714338,0.2366792561553831,0.23179821276101936,124,1492.455260976335,1244.921795775974,959.0588988414391,659.997142917282,406.04205693688755,9,7,43.59189210189329,c1,transverse1,t2,v1,7.0,2.0,2.0,no,no,yes,zigzag,Side to side movement,3.0,0.473,N0R-Fr1HwWM,673
c1_transverse1_t2_v2,319314,22485.40018461994,239006,80308,17101.549248207648,5383.85093641229,0.25150165667650026,0.2394376302937608,51,2645.125727431953,1470.9484792262353,906.5368224366097,325.69229823807746,20.331486145432336,5,4,58.033427237780174,c1,transverse1,t2,v2,17.0,2.0,2.0,no,no,yes,,,2.0,-0.3895,TS0bxnCjWL4,235
c1_transverse1_t2_v3,319314,22485.40018461994,239011,80303,17101.369146865887,5384.031037754052,0.25148599810844496,0.23944563999517965,50,2643.2328042753597,1470.8045355560998,906.703171820347,325.99456518596344,21.046368178363892,5,4,58.012658380258756,c1,transverse1,t2,v3,17.0,2.0,2.0,yes,no,yes,,blood,2.0,,L5URD4xbeJE,235
c1_transverse1_t3_v1,319314,22485.394248075227,237584,81730,17004.94752157852,5480.446726496709,0.2559549534314186,0.24373362841818266,68,3071.371324439879,1448.2703940336426,259.41768280456756,239.8265071385394,165.23944256379966,8,7,62.53472176992927,c1,transverse1,t3,v1,26.0,3.0,4.0,no,no,yes,fast; loop,"back to the same point, almost similar path front & back",3.0,0.3711,_xtxLtByf3E,203
c1_transverse1_t3_v2,319314,22485.38693794382,219708,99606,15650.147988559476,6835.238949384343,0.31193746594261446,0.30398582725076256,316,2052.754432747517,1525.5517414113133,1367.255241840297,947.1097316092216,670.3384178413953,8,6,51.12385078810609,c1,transverse1,t3,v2,21.0,3.0,4.0,no,no,yes,textureless enface,,3.0,0.8495,X4RUB5R63YQ,184
c1_transverse1_t3_v3,319314,22485.38693794382,219666,99648,15648.212843376661,6837.174094567157,0.3120689979142787,0.30407188959819537,348,2052.2057399806467,1525.9599796087402,1364.279109361611,948.2633288308823,667.517044233321,8,6,51.11701773456513,c1,transverse1,t3,v3,21.0,3.0,4.0,yes,no,yes,,blood pool covers FOV,3.0,,TiAa1eqUdsU,184
